REFERENCE_ID,PMID,WOSID,DOI,TITLE,AUTHORS,YEAR,ABSTRACT,header_num_2013,header_text_2013,header_num_2020,header_text_2020
273,9465268,WOS:000071845400012,10.1006/taap.1997.8318,Modeling the interactions of ozone with pulmonary epithelial lining fluid antioxidants,"Mudway, IS; Kelly, FJ",1998,"Medical Research Council (UK); Wellcome Trust.Water soluble antioxidant--ascorbate (AA), urate (UA), and reduced glutathione (GSH)--consumption by ozone (O3) was investigated in a range of pulmonary epithelial lining fluid (ELF) models. Antioxidants were exposed individually and as a composite mixture, with and without human albumin to a range of ambient O3 concentrations: 0-1500 ppb using a continually mixed, interfacial exposure setup. We observed the following: (1) UA constituted the most o3-reactive substrate in each of the models examined. Reactivity hierarchies  in each were as follows: UA > AA >> GSH (individual antioxidant), UA > AA > GSH (composite antioxidant), and UA >> AA approximately equal to GSH (composite antioxidant + albumin). Consumption of  GSH as a pure antioxidant solution was associated with a 2:1 stoichiometric conversion of GSH to GSSG. This simplistic relationship was lost in the more complex models. (3) Consumption of antioxidants by O3 occurred without alteration of sample pH. (4) Protein carbonyl formation was observed when albumin alone was exposed to O3. However, in the presence of the composite antioxidant solution no evidence of this oxidative modification was apparent. These data indicate that GSH does not represent an important substrate for O3. In contrast, UA displays high reactivity consistent with its acting as a sacrificial substrate in the ELF. As UA concentrations are highest in the ELF of the proximal airways, its localization, allied to its reactivity, suggesting that it plays important roles, both in conferring protection locally and also by ""scrubbing"" O3, from inhaled air, limiting its penetration to the more sensitive distal lung.",5.2.3,Ozone Reactions and Reaction Products,0,0
568,10092402,WOS:000079413900006,10.1006/enrs.1998.3894,Long-term ambient ozone concentration and the incidence of asthma in nonsmoking adults: the Ahsmog study,"McDonnell, WF; Abbey, DE; Nishino, N; Lebowitz, MD",1999,"U.S. Environmental Protection Agency; California Air Resources Board.  #We conducted a prospective study of a cohort of 3091 nonsmokers, ages 27 to 87 years, to evaluate the association between long-term ambient ozone exposure and development of adult-onset asthma. Over a 15-year period, 3.2% of males and 4.3% of females reported new doctor diagnoses of asthma. For males, we observed a significant relationship between report of doctor diagnosis of asthma and 20-year mean 8-h average ambient ozone concentration (relative risk (RR) = 2.09 for a 27 ppb increase in ozone concentration, 95% CI = 1.03 to 4.16). We observed no such relationship for females. Other variables significantly related to development of asthma were a history of ever-smoking for males (HR = 237, 95% CI = 1.13 to 4.81), and for females, number of years worked with a smoker (RR  1.21 for a 7-year increment, 95% CI = 1.04 to 1.39), age (RH = 0.61 for a 16-year increment, 95% CI = 0.44 to 0.84), and a history of childhood pneumonia or
bronchitis (RH = 2.96, 95% CI = 1.68 to 5.03). Addition of other pollutants (PM10, SO4, NO2, and SO2) to the models did not diminish the relationship between ozone and asthma for males. These data suggest that long-term exposure to ambient ozone is associated with development of asthma in adult males.",4.3.4.1,Personal Exposure to Ozone and Copollutants,3.2.4.1.1,Epidemiologic Studies
782,11140440,WOS:000166013800006,10.1038/sj.jea.7500114,The National Exposure Research Laboratory's consolidated human activity database,"McCurdy, T; Glen, G; Smith, L; Lakkadi, Y",2000,"EPA's National Exposure Research Laboratory (NERL) has combined data from 12 U.S. studies related to human activities into one comprehensive data system that can be accessed via the Internet. The data system is called the Consolidated Human Activity Database (CHAD) and is available at http:// www.epa.gov/nerl/. CHAD contains 22,968 person days of activity and is designed to assist exposure assessors and modelers in constructing population ""cohorts"" of people with specified characteristics that are suitable for subsequent analysis or modeling. This paper describes the studies comprising CHAD and the various intellectual foundations that underlay the gathering of human activity pattern data. Next, it provides a brief overview of the Internet version of CHAD, and discusses how the program was formulated. Emphasis is placed on how activity-specific energy expenditure estimates were developed. Finally, the paper recommends steps that should be taken to improve the collection of activity data that would improve energy expenditure estimates and related information needed for physiologically based exposure dose modeling efforts.",4.4.1,Activity Patterns,0,0
796,10673189,WOS:000085376000025,10.1164/ajrccm.161.2.9905031,No effect of inhaled budesonide on the response to inhaled ozone in normal subjects,"Nightingale, JA; Rogers, DF; Chung, KF; Barnes, PJ",2000,"Astra Draco AB [Lund, Sweden]. #Inhalation of ozone in normal subjects causes a neutrophilic inflammatory response in the airways. Pretreatment with inhaled corticosteroids reduces the inflammatory response to inhaled ozone in dogs. We undertook a double-blind, randomized, placebo-controlled, crossover study to investigate the effects of 2 wk of treatment with inhaled budesonide 800 Ag twice daily or placebo prior to ozone exposure in humans. Fifteen (six male; mean age, 31.1 ? 2.1 yr) healthy nonsmokers were exposed to 400 parts per billion (ppb) ozone for 2 h with intermittent exercise. Spirometry, exhaled carbon monoxide (CO) and nitric oxide (NO) levels, measurement of methacholine reactivity, and collection of exhaled air condensate and induced sputum
samples were performed at baseline, preexposure, and at intervals up to 24 h postexposure. Ozone exposure led to significant decreases in spirometry and increased methacholine reactivity and sputum neutrophils and myeloperoxidase (MPO). There were no changes in exhaled NO and CO levels, or exhaled breath nitrite after ozone exposure. There were no differences in any of the parameters after treatment with budesonide compared with placebo, and no differences in the response to ozone
between treatment groups. We conclude that a high dose of inhaled corticosteroid does not protect against the effects of ozone exposure in normal subjects.",6.2.1.1,Controlled Human Exposure,0,0
1198,9887132,WOS:000080009600028,10.1152/jappl.1999.86.1.202,Mast cell activation is not required for induction of airway hyperresponsiveness by ozone in mice,"Noviski, N; Brewer, JP; Skornik, WA; Galli, SJ; Drazen, JM; Martin, TR",1999,"Exposure to ambient ozone (O3) is associated with increased exacerbations of asthma. We sought to determine whether mast cell degranulation is induced by in vivo exposure to O3 in mice and whether mast cells play an essential role in the development of pulmonary pathophysiological alterations induced by O3. For this we exposed mast cell-deficient WBB6F1-kit W /kit W-v (kit W /kit W-v ) mice and the congenic normal WBB6F1 (1/1) mice to air or to 1 or 3 parts/million O3 for 4 h and studied them at different intervals from 4 to 72 h later. We found evidence of O3-induced cutaneous, as well as bronchial, mast cell degranulation. Polymorphonuclear cell influx into the pulmonary parenchyma was observed after exposure to 1 part/milllion O3 only in mice that possessed mast cells. Airway hyperresponsiveness to intravenous methacholine measured in vivo under pentobarbital anesthesia was observed in both kit W /kit W-v and 1/1 mice after exposure toO3. Thus, although mast cells are activated in vivo by O3 and participate in O3-induced polymorphonuclear cell infiltration into the pulmonary parenchyma, they do not participate detectably in the development of O3-induced airway hyperresponsiveness in mice.",5.4.2.2,Pre existing Diseases and Conditions,0,0
1199,9887149,WOS:000080009600045,,Ozone-induced pulmonary inflammation and epithelial proliferation are partially mediated by PAF,"Longphre, M; Zhang, LY; Harkema, JR; Kleeberger, SR",1999,"Ozone (O3) exposure stimulates airway inflammation and epithelial sloughing in a number of species, including mice. Platelet-activating factor (PAF) is a lipid mediator released by activated mast cells, macrophages, and epithelial cells and causes pulmonary inflammation and hyperpermeability. We hypothesized that the activation of PAF receptors is central to the development of inflammation and epithelial injury induced by acute O3 exposure in mice. To test this hypothesis, O3-susceptible C57BL/6J mice were treated with a PAF-receptor antagonist, UK-74505, or vehicle either before or immediately after 3-h exposure to O3 (2 parts/million) or filtered air. Bronchoalveolar lavage (BAL) fluids were collected 6 and 24 h after exposure. Differential cell counts and protein content of the lavage were used as indicators of inflammation in the airways. O3-induced epithelial injury was assessed by light microscopy, and DNA synthesis in epithelium of terminal bronchioles was estimated by using a bromodeoxyuridine-labeling index. Intercellular adhesion molecule 1 (ICAM-1)expression was also examined in the lung by immunohistochemical localization. O3 caused significant increases in polymorphonuclear leukocytes and protein in the BAL fluid, increased pulmonary epithelial proliferation, and increased epithelial expression of ICAM-1 compared with air-exposed, vehicle-treated control mice. Relative to O3-exposed, vehicle-treated control mice, UK-74505 before exposure significantly (P < 0.05) decreased BAL protein, polymorphonuclear leukocytes, and epithelial cells. O3-induced inflammation was similarly attenuated in mice treated with UK-74505 after exposure. These experiments thus support the hypothesis that O3-induced airways inflammation and epithelial damage in mice are partially mediated by activation of PAF receptors, possibly through modulation of ICAM-1 expression.",5.3.3,Initiation of inflammation,0,0
1202,9931202,WOS:000080009800030,,Regional clearance of solute from peripheral airway epithelia: Recovery after sublobar exposure to ozone,"Foster, WM; Freed, AN",1999,"The influence of local exposure to ozone (O3) on respiratory epithelial permeability of sublobar lung segments was studied by using aerosolized 99m Tc-diethylenetriamine pentaacetic acid (DTPA; mol wt, 492). Two bronchoscopes were inserted through an endotracheal tube in anesthetized, mechanically ventilated, mixed breeddogs and were wedged into sublobar bronchi located in the right and left lower lobes, respectively. Segments were ventilated via the bronchoscope with 5% CO2 in air delivered at 200 ml/min, and an aerosol of 99m Tc-DTPA was generated and delivered through the scope and into the sublobar segment over a 30-s period. Clearance of 99m Tc-DTPA was measured simultaneously from right and left lower lung segments at baseline and 1, 7, and 14 days after a 6-h sublobar exposure to filtered air or 400 parts per billion O3. O3 treatment significantly decreased the clearance halftime (t50)of 99m Tc-DTPA by 50% from the baseline mean of 32.3 to 16.0 min at 1 day postexposure. After 7 days of recovery, t50 was still reduced by 28.8%; however, by 14 days postexposure, clearance of 99m Tc-DTPA had recovered, and the t50 had a mean value of 30.0 min. 99m Tc-DTPA clearance was not altered by exposure to filtered air, and t50 values were comparable to baseline at 1, 7, and 14 days postexposure. These results reveal that a single local exposure to O3 increases transepithelial clearance, but only for epithelia directly exposed to O3, and that 7-14 days of recovery are required before permeability to small-molecular-weight solutes returns to normal.",5.3.4,Alteration of Epithelial Barrier Function,0,0
1209,10030851,WOS:000079192100019,10.1165/ajrcmb.20.3.3227,Long-lasting effects of chronic ozone exposure on rat nasal epithelium,"Harkema, JR; Hotchkiss, JA; Barr, EB; Bennett, CB; Gallup, M; Lee, JK; Basbaum, C",1999,"Ozone, the principal oxidant pollutant in photochemical smog, causes airway epithelial injury in the upper and lower respiratory tract of laboratory animals. We have recently reported that long-term inhalation exposure to ozone causes mucous-cell metaplasia (MCM) in the surface epithelium lining the nasal airways of F344 rats. The principal objective of the present study was to determine the persistence of ozone-induced MCM in the nasal epithelium after the end of a chronic exposure. Male F344/N rats were exposed to 0, 0.25, or 0.5 ppm ozone, for 8 h/d, 7 d/wk for 13 wk. Animals were killed 8 h, 4 wk, or 13 wk after the end of the chronic exposure. Ozone-related alterations in the nasal epithelium were qualitatively and quantitatively characterized through histochemistry, image analysis, and morphometric techniques. Some rats were exposed for an additional 8 h to 0.5 ppm ozone at 13 wk after the end of the chronic exposure to determine whether previous ozone exposure results in persistent changes in the sensitivity of nasal epithelium to acute injury. At the end of the chronic exposure, hyperplasia was present in the nasal epithelium of rats exposed to 0.25 and 0.5 ppm ozone. By 13 wk postexposure, this proliferative alteration was still evident only in the rats exposed to 0.5 ppm ozone. Ozone-induced MCM with associated intraepithelial mucosubstances was evident only in the nasal tissues of rats exposed to 0.5 ppm ozone. Though attenuated, these alterations in the nasal mucous apparatus were still detectable at 13 wk after the end of the exposure. At this same time after the chronic exposure, an acute (8 h) exposure to 0.5 ppm ozone induced an additional increase of mucosubstances in the nasal epithelium of rats previously exposed to 0.5 ppm ozone, but not in rats chronically exposed to 0 or 2.5 ppm ozone. The persistent nature of the ozone-induced MCM in rats documented in this report suggests that ozone exposure may have the potential to induce similar long-lasting alterations in the airways of humans.",5.3.7,Airways Remodeling,0,0
1264,10430711,WOS:000081947700011,10.1164/ajrccm.160.2.9811007,Human isolated airway contraction: Interaction between air pollutants and passive sensitization,"Roux, E; Hyvelin, JM; Savineau, JP; Marthan, R",1999,"Although there is epidemiological evidence that an increase in allergic diseases such as asthma maybe linked to air pollution, there is little experimental data to address this issue. The aim of this study was thus to investigate the interaction between passive sensitization and exposure to pollutants in human isolated airways. We have examined (1) the effect of a preexposure to pollutants on the contraction of sensitized bronchi to a specific antigen, and (2) the effect of passive sensitization on the contraction to nonspecific agonists in bronchi preexposed to pollutants. In tissues sensitized by incubation in sera from asthmatic patients, preexposure to 0.3 mM acrolein (an aldehyde) for 10 min or 20 min significantly increased the maximal contractile response to the antigen Dermatophagoides pteronyssinus (D. Pter.) by 20.5 +/- 6.5 and 34.9 +/- 7.4%, respectively. Similarly, preexposure to ozone(1 ppm for 20 min) increased the response to D. pter. by 25.3 +/- 11.3%. On the other hand, passive sensitization increased the contractile response to carbachol or histamine of bronchial rings preexposed to 0.3 mM acrolein for 10 min by 33.5 +/- 6.2% and 32.5 +/- 5.1%, respectively. This study provides a proof of principle in vitro for a combined effect of immunological sensitization and exposure to pollutants, i.e., passive sensitization and exposure to pollutants act in a synergistic manner on human bronchial smooth muscle reactivity in response to both specific antigen and nonspecific agonists.",5.4.2.2,Pre existing Diseases and Conditions,0,0
1267,10445622,WOS:000081775800031,10.1183/09031936.99.13614299,Ozone-induced lung function decrements do not correlate with early airway inflammatory or antioxidant responses,"Blomberg, A; Mudway, IS; Nordenhall, C; Hedenstrom, H; Kelly, FJ; Frew, AJ; Holgate, ST; Sandstrom, T",1999,"Swedish Asthma and Allergy Association; Swedish Work Environmental Fund; Swedish Heart and Lung Foundation; Medical Research Council (UK). #This study sought to clarify the early events occurring within the airways of healthy human subjects performing moderate intermittent exercise following ozone challenge. Thirteen healthy nonsmoking subjects were exposed in a single blinded, crossover control fashion to 0.2 parts per million (ppm) O3 and filtered air for 2 h, using a standard intermittent exercise and rest protocol. Lung function was assessed pre- and immediately post-exposure. Bronchoscopy was performed with endobronchial mucosal biopsies, bronchial wash (BW) and bronchoalveolar lavage (BAL) 1.5 h after the end of the exposure period. Respiratory tract lining fluid (RTLF) redox status was assessed by measuring a range of antioxidants and oxidative damage markers in BW and BAL fluid samples. There was a significant upregulation after 03 exposure in the expression of vascular endothelial P-selectin (p<0.005) and intercellular adhesion molecule-i (p<0.005). This was associated with a 2-fold increase in submucosal mast cells (p<O.005) in biopsy samples, without evidence of neutrophilic inflammation, and a decrease in HAL fluid macrophage numbers (1.6-fold, p<0.005), with an activation of the remaining macrophage subset (2.5-fold increase in % human leukocyte antigen (HLA)-DR+ cells, p<0.005). In addition, exposure led to a 4.5-fold and 3.1-fold increase of reduced glutathione (GSH) concentrations, in BW and BAL fluid respectively (p<0.05), with alterations in urate and a-tocopherol plasmalRTLF partitioning ratios (p<0.05). Spirometry showed reductions in forced vital capacity (p<0.0S) and forced expiratory volume in one second (p<0.01), with evidence of small airway narrowing using forced expiratory flow values (p<0.005). Evidence was found of O3-induced early adhesion molecule upregulation, increased submucosal mast cell numbers and alterations to the respiratory tract lining fluid redox status. No clear relationship was demonstrable between changes in these early markers and the lung function decrements observed. The results therefore indicate that the initial lung function decrements are not predictive of, or causally related to the O3-induced inflammatory events in normal human subjects.",5.2.3,Ozone Reactions and Reaction Products,0,0
